precision,recall,_
0.33346672002134187,1.0,0.011997290886938572
0.3333778014941302,0.9996,0.013043047860264778
0.333288859239493,0.9992,0.014352786354720592
0.3333333333333333,0.9992,0.014504656195640564
0.33337781929801147,0.9992,0.014642289839684963
0.33342231713828085,0.9992,0.014702384360134602
0.33346682685889734,0.9992,0.014878716319799423
0.3335113484646195,0.9992,0.014968021772801876
0.3335558819602083,0.9992,0.014985524117946625
0.33360042735042733,0.9992,0.015393444336950779
0.33351141979431015,0.9988,0.0154306935146451
0.3334223884584558,0.9984,0.01587335206568241
0.3333333333333333,0.998,0.016334641724824905
0.33324425440940675,0.9976,0.01651836931705475
0.33328878791928374,0.9976,0.016870392486453056
0.3333333333333333,0.9976,0.01746443286538124
0.3333778906563294,0.9976,0.01749345473945141
0.33342245989304814,0.9976,0.017566097900271416
0.33346704104826846,0.9976,0.018099550157785416
0.33351163412677187,0.9976,0.01830221712589264
0.33355623913334226,0.9976,0.01898033171892166
0.3336008560727662,0.9976,0.01902393065392971
0.33364548494983276,0.9976,0.019156156107783318
0.3336901257693337,0.9976,0.01935902237892151
0.33373477853606315,0.9976,0.019451677799224854
0.3336456102783726,0.9972,0.019496608525514603
0.33369026904028914,0.9972,0.020111912861466408
0.3337349397590361,0.9972,0.02066226862370968
0.3337796224394163,0.9972,0.020839707925915718
0.33369041242635245,0.9968,0.020871836692094803
0.3337351011115575,0.9968,0.020984098315238953
0.333779801768015,0.9968,0.021117543801665306
0.33382451440053584,0.9968,0.021186621859669685
0.33386923901393356,0.9968,0.021458206698298454
0.33391397561302427,0.9968,0.02208843268454075
0.3339587242026266,0.9968,0.02237549051642418
0.33386945449671623,0.9964,0.022470800206065178
0.3339142091152815,0.9964,0.02279633656144142
0.33382490950529564,0.996,0.022976867854595184
0.333869670152856,0.996,0.023021219298243523
0.3339144428054177,0.996,0.023464659228920937
0.33395922746781115,0.996,0.023637045174837112
0.33400402414486924,0.996,0.02380639687180519
0.33391467668365976,0.9956,0.023822061717510223
0.33395947940426673,0.9956,0.02406053990125656
0.33400429414922167,0.9956,0.024112557992339134
0.3339149107502349,0.9952,0.024321962147951126
0.3339597315436242,0.9952,0.024331072345376015
0.3340045643710565,0.9952,0.024430707097053528
0.33391514500537056,0.9948,0.02444881573319435
0.33395998388612863,0.9948,0.024710945785045624
0.3340048348106366,0.9948,0.024817435070872307
0.33391537944929484,0.9944,0.0250706784427166
0.33396023643202577,0.9944,0.025323543697595596
0.3340051054682252,0.9944,0.025384820997714996
0.3340499865627519,0.9944,0.025453995913267136
0.3340948797204677,0.9944,0.025679122656583786
0.3341397849462366,0.9944,0.02581409551203251
0.3341847022449254,0.9944,0.025945447385311127
0.3342296316214036,0.9944,0.02619515173137188
0.3342745730805432,0.9944,0.026275357231497765
0.33418504572350727,0.994,0.026307806372642517
0.33422999327505043,0.994,0.02639211155474186
0.3342749529190207,0.994,0.02657649666070938
0.33418538947934884,0.9936,0.02657793089747429
0.33409580193756727,0.9932,0.026582686230540276
0.3341407616740681,0.9932,0.026704149320721626
0.334185733512786,0.9932,0.026720460504293442
0.33423071745860816,0.9932,0.02680169977247715
0.3342757135164243,0.9932,0.026995180174708366
0.334320721691127,0.9932,0.027123626321554184
0.3343657419876111,0.9932,0.027265507727861404
0.33441077441077444,0.9932,0.02748878486454487
0.33445581896551724,0.9932,0.027602287009358406
0.3345008756567426,0.9932,0.02762589603662491
0.33441120991646456,0.9928,0.0279555507004261
0.334456272739523,0.9928,0.02807042747735977
0.3345013477088949,0.9928,0.02807256393134594
0.3344116457743631,0.9924,0.02808658592402935
0.3344567268805608,0.9924,0.028166117146611214
0.3345018201429149,0.9924,0.028281981125473976
0.334546925566343,0.9924,0.028373105451464653
0.33459204315576535,0.9924,0.02842889167368412
0.3346371729161047,0.9924,0.02844960428774357
0.3346823148522865,0.9924,0.028492188081145287
0.33472746896923905,0.9924,0.028512684628367424
0.3347726352718931,0.9924,0.02859109453856945
0.33481781376518216,0.9924,0.028663475066423416
0.3348630044540424,0.9924,0.028732905164361
0.33490820734341253,0.9924,0.028794651851058006
0.3349534224382341,0.9924,0.02894597314298153
0.33486362408857684,0.992,0.029126528650522232
0.3349088453747468,0.992,0.02913014590740204
0.3349540788762831,0.992,0.02916906774044037
0.3349993245981359,0.992,0.02925516664981842
0.334909483923264,0.9916,0.029358943924307823
0.3349547358465072,0.9916,0.029359472915530205
0.3348648648648649,0.9912,0.029359618201851845
0.33491012298959316,0.9912,0.029376819729804993
0.3348202216815355,0.9908,0.029387474060058594
0.3347302960659727,0.9904,0.02947443723678589
0.3346403461330449,0.99,0.02948530949652195
0.3345503718728871,0.9896,0.029671765863895416
0.33459561806870436,0.9896,0.0297066792845726
0.33464087650480184,0.9896,0.02971884235739708
0.3346861471861472,0.9896,0.029730889946222305
0.3347314301177107,0.9896,0.029967479407787323
0.3347767253044655,0.9896,0.03000170923769474
0.3348220327513872,0.9896,0.030157869681715965
0.3348673524634542,0.9896,0.030164072290062904
0.33491268444564776,0.9896,0.03031015396118164
0.33495802870295155,0.9896,0.03038548305630684
0.33500338524035206,0.9896,0.030427727848291397
0.33504875406283857,0.9896,0.03059534728527069
0.33509413517540293,0.9896,0.030597180128097534
0.3351395285830398,0.9896,0.030635669827461243
0.33518493429074653,0.9896,0.03066372312605381
0.33523035230352305,0.9896,0.03068479150533676
0.33527578262637214,0.9896,0.030719446018338203
0.33532122526429925,0.9896,0.03096802905201912
0.3352311237630473,0.9892,0.031202977523207664
0.3352765726681128,0.9892,0.03130144998431206
0.3351864406779661,0.9888,0.03139881044626236
0.3350962842419311,0.9884,0.03167189657688141
0.33500610335006104,0.988,0.03170191869139671
0.33505154639175255,0.988,0.03183136507868767
0.3350970017636684,0.988,0.0318874754011631
0.3350067842605156,0.9876,0.03192150965332985
0.3350522458949654,0.9876,0.03203641250729561
0.3350977198697068,0.9876,0.03213247284293175
0.3350074657255328,0.9872,0.0321916863322258
0.33491718707575346,0.9868,0.03258083388209343
0.33496266123557367,0.9868,0.03299593925476074
0.33487235198261817,0.9864,0.03303346782922745
0.33491783240526957,0.9864,0.03314477577805519
0.33496332518337407,0.9864,0.0333479642868042
0.3348729792147806,0.986,0.03338898718357086
0.33491847826086957,0.986,0.03342457488179207
0.33496398967250984,0.986,0.0335000641644001
0.3350095134547431,0.986,0.0336080826818943
0.33491912464319695,0.9856,0.03361861780285835
0.3349646547036433,0.9856,0.033687248826026917
0.33501019714479946,0.9856,0.033700354397296906
0.33505575197171605,0.9856,0.03386349976062775
0.3349653202774378,0.9852,0.03396586328744888
0.33501088139281826,0.9852,0.03397620841860771
0.33492041899061353,0.9848,0.03418896347284317
0.3348299319727891,0.9844,0.03419114649295807
0.3348754932643897,0.9844,0.03420519456267357
0.3349210669569951,0.9844,0.03433053940534592
0.334966653055669,0.9844,0.034431591629981995
0.3350122515654778,0.9844,0.0344451405107975
0.33505786249149083,0.9844,0.034497182816267014
0.33510348583877997,0.9844,0.03455888479948044
0.33501293749148847,0.984,0.034593936055898666
0.3350585671479161,0.984,0.03464203327894211
0.3351042092357989,0.984,0.03467697277665138
0.335149863760218,0.984,0.03468077629804611
0.33519553072625696,0.984,0.034734033048152924
0.33524121013900243,0.984,0.03474169969558716
0.33528690200354366,0.984,0.03483845293521881
0.335196292257361,0.9836,0.034848280251026154
0.3352419904567144,0.9836,0.03500085324048996
0.3351513498772839,0.9832,0.0353296734392643
0.3350606845765717,0.9828,0.03537650406360626
0.33496999454446263,0.9824,0.03547223284840584
0.3348792797708362,0.982,0.03557063639163971
0.33478854024556615,0.9816,0.035595860332250595
0.3348342202210397,0.9816,0.03562352806329727
0.33487991266375544,0.9816,0.03562600538134575
0.33478913607206223,0.9812,0.0356648713350296
0.33483483483483484,0.9812,0.035708796232938766
0.33474402730375424,0.9808,0.03579713776707649
0.3347897323866739,0.9808,0.035880979150533676
0.3348354499522054,0.9808,0.035885319113731384
0.33488118000546296,0.9808,0.03590703383088112
0.334926922551564,0.9808,0.035917237401008606
0.33497267759562843,0.9808,0.035950999706983566
0.33501844514277906,0.9808,0.035976190119981766
0.33506422519814155,0.9808,0.03608795627951622
0.33511001776684435,0.9808,0.03613658621907234
0.3350191361399672,0.9804,0.03624982014298439
0.33506493506493507,0.9804,0.03625599294900894
0.3351107465135357,0.9804,0.03626666218042374
0.3351565704909066,0.9804,0.03627247363328934
0.3352024070021882,0.9804,0.03628106042742729
0.3351114758582957,0.98,0.03628484159708023
0.33515731874145005,0.98,0.036376819014549255
0.33520317416883294,0.98,0.036593060940504074
0.33524904214559387,0.98,0.03670059144496918
0.3351580676064048,0.9796,0.03682407736778259
0.33506706816315357,0.9792,0.03683256730437279
0.3351129363449692,0.9792,0.03685219958424568
0.33515881708652795,0.9792,0.03685527294874191
0.33520471039298916,0.9792,0.03701223433017731
0.33511366748835936,0.9788,0.03711448982357979
0.3351595671825777,0.9788,0.03717649355530739
0.3352054794520548,0.9788,0.037178169935941696
0.33525140430195915,0.9788,0.037462908774614334
0.33529734173746234,0.9788,0.03751423954963684
0.3353432917637385,0.9788,0.037628624588251114
0.3352521929824561,0.9784,0.03762957081198692
0.3352981494174092,0.9784,0.03763287514448166
0.3352070194680559,0.978,0.03769848495721817
0.33525298231180584,0.978,0.03782295435667038
0.33529895776193086,0.978,0.03793572634458542
0.3353449458236182,0.978,0.03799780085682869
0.33539094650205764,0.978,0.0380423329770565
0.33543695980244204,0.978,0.038103241473436356
0.33548298572996704,0.978,0.03817076236009598
0.3355290242898312,0.978,0.03831302002072334
0.3355750754872358,0.978,0.03832577168941498
0.335621139327385,0.978,0.038395628333091736
0.3355299286106535,0.9776,0.03839711472392082
0.33557599890155154,0.9776,0.03842684626579285
0.3356220818456468,0.9776,0.03843219578266144
0.33566817744815275,0.9776,0.038455814123153687
0.3357142857142857,0.9776,0.03846857696771622
0.335760406649265,0.9776,0.03850715979933739
0.33566913987359165,0.9772,0.03850864991545677
0.33571526728047274,0.9772,0.03853941708803177
0.3356239692138538,0.9768,0.03859855979681015
0.33553264604810995,0.9764,0.03862619400024414
0.33557877371459993,0.9764,0.0387309230864048
0.33562491406572253,0.9764,0.03879500925540924
0.3356710671067107,0.9764,0.03880828246474266
0.33571723284280014,0.9764,0.03885137662291527
0.3357634112792297,0.9764,0.03889680653810501
0.33580960242124086,0.9764,0.03893361985683441
0.33585580627407813,0.9764,0.03899617865681648
0.33590202284298887,0.9764,0.03899969533085823
0.33581062482796586,0.976,0.03901100158691406
0.3358568479008947,0.976,0.039154715836048126
0.33576541850220265,0.9756,0.03919602930545807
0.3358116480793061,0.9756,0.039237234741449356
0.33585789038832276,0.9756,0.0392678864300251
0.33590414543451314,0.9756,0.039357688277959824
0.3359504132231405,0.9756,0.03964206948876381
0.3358589337374294,0.9752,0.03964798152446747
0.33590520804629376,0.9752,0.0396588109433651
0.3359514951081714,0.9752,0.03980741277337074
0.33599779492833515,0.9752,0.03981829434633255
0.33590627153687114,0.9748,0.0398264080286026
0.33595257788806177,0.9748,0.03990369662642479
0.3358610230249552,0.9744,0.03992152214050293
0.3359073359073359,0.9744,0.03992614522576332
0.33581574955178595,0.974,0.04002940654754639
0.3357241379310345,0.9736,0.0400373749434948
0.335770451096703,0.9736,0.040105659514665604
0.3356788079470199,0.9732,0.04023158922791481
0.33572512763902307,0.9732,0.04023686423897743
0.335771460115926,0.9732,0.040301281958818436
0.33581780538302275,0.9732,0.040321677923202515
0.33586416344561015,0.9732,0.040323786437511444
0.3357724699710065,0.9728,0.04034290835261345
0.33581883457608397,0.9728,0.04034613072872162
0.3358652119872946,0.9728,0.040365178138017654
0.33591160220994476,0.9728,0.04040085896849632
0.3359580052493438,0.9728,0.040490347892045975
0.33586626139817627,0.9724,0.040510453283786774
0.33591267099626915,0.9724,0.04053543135523796
0.33595909342178,0.9724,0.04053695499897003
0.33600552868002764,0.9724,0.04057103767991066
0.33605197677633397,0.9724,0.04058176651597023
0.33609843771602377,0.9724,0.04065585136413574
0.33614491150442477,0.9724,0.04069198668003082
0.33605310468814825,0.972,0.04069412872195244
0.3360995850622407,0.972,0.04079041630029678
0.33600774657628996,0.9716,0.04090452939271927
0.3360542335362479,0.9716,0.040916457772254944
0.3361007333610073,0.9716,0.04109589755535126
0.33614724605590923,0.9716,0.041160378605127335
0.3361937716262976,0.9716,0.04121825844049454
0.33624031007751937,0.9716,0.04124142974615097
0.33628686141492453,0.9716,0.04126698151230812
0.336333425643866,0.9716,0.041280459612607956
0.3362415177953192,0.9712,0.04130985215306282
0.3362880886426593,0.9712,0.04141242802143097
0.3363346723922981,0.9712,0.041455548256635666
0.33624272651704074,0.9708,0.041541606187820435
0.3362893168906748,0.9708,0.041678834706544876
0.3363359201773836,0.9708,0.04169921204447746
0.3362439362439362,0.9704,0.04177330061793327
0.33629054616024395,0.9704,0.04185482859611511
0.33633716900041594,0.9704,0.04190833494067192
0.33638380476982804,0.9704,0.04192743077874184
0.33643045347385936,0.9704,0.04211226478219032
0.3364771151178918,0.9704,0.0421147346496582
0.3365237897073103,0.9704,0.042191777378320694
0.3365704772475028,0.9704,0.042196132242679596
0.33661717774386013,0.9704,0.042218465358018875
0.3366638912017763,0.9704,0.04226605221629143
0.33671061762664817,0.9704,0.04233809560537338
0.3367573570238756,0.9704,0.0423908568918705
0.3368041093988616,0.9704,0.04243096336722374
0.3368508747570119,0.9704,0.04243949055671692
0.3367587835022913,0.97,0.04246100038290024
0.3368055555555556,0.97,0.042533066123723984
0.3368523406028615,0.97,0.042536795139312744
0.3368991386496249,0.97,0.042554374784231186
0.3369459497012644,0.97,0.04256651550531387
0.3369927737632018,0.97,0.04269276186823845
0.3370396108408617,0.97,0.04287916421890259
