precision,recall
0.2546602831822349,1.0
0.2545843520782396,0.9996
0.25461029037187977,0.9996
0.2546621828187099,0.9996
0.2546881369751325,0.9996
0.254714096422383,0.9996
0.25474006116207953,0.9996
0.25476603119584057,0.9996
0.2547920065252855,0.9996
0.25481798715203424,0.9996
0.2548439730777075,0.9996
0.25486996430392655,0.9996
0.25489596083231336,0.9996
0.25492196266449046,0.9996
0.25497398224670953,0.9996
0.255,0.9996
0.2550260230635779,0.9996
0.25505205143906917,0.9996
0.25507808512810043,0.9996
0.2551041241322989,0.9996
0.2551301684532925,0.9996
0.25515621809270983,0.9996
0.2551822730521801,0.9996
0.2552083333333333,0.9996
0.25523439893780003,0.9996
0.25526046986721146,0.9996
0.2552865461231995,0.9996
0.2553126277073968,0.9996
0.2553387146214366,0.9996
0.2553648068669528,0.9996
0.2552887072049055,0.9992
0.2553147996729354,0.9992
0.2553408974752121,0.9992
0.25526477203025966,0.9988
0.2552908700541867,0.9988
0.25531697341513293,0.9988
0.25534308211473566,0.9988
0.2553691961546328,0.9988
0.2553953155364631,0.9988
0.2554214402618658,0.9988
0.25544757033248083,0.9988
0.2554737057499488,0.9988
0.2554998465159112,0.9988
0.2555259926320098,0.9988
0.2555521440998874,0.9988
0.25557830092118733,0.9988
0.25560446309755347,0.9988
0.25563063063063063,0.9988
0.2556568035220641,0.9988
0.2556829817734999,0.9988
0.2557091653865847,0.9988
0.255735354362966,0.9988
0.25576154870429174,0.9988
0.25578774841221064,0.9988
0.2558139534883721,0.9988
0.2558401639344262,0.9988
0.25586637975202375,0.9988
0.25589260094281613,0.9988
0.25591882750845546,0.9988
0.2559450594505945,0.9988
0.2559712967708867,0.9988
0.25599753947098625,0.9988
0.25602378755254795,0.9988
0.2560500410172272,0.9988
0.25607629986668035,0.9988
0.2561025641025641,0.9988
0.25612883372653605,0.9988
0.25615510874025443,0.9988
0.2561813891453781,0.9988
0.2562076749435666,0.9988
0.25623396613648025,0.9988
0.25626026272577995,0.9988
0.2562865647131274,0.9988
0.2563128721001848,0.9988
0.2563391848886151,0.9988
0.25636550308008216,0.9988
0.2563918266762501,0.9988
0.2564181556787841,0.9988
0.2564444900893499,0.9988
0.2564708299096138,0.9988
0.25649717514124293,0.9988
0.2565235257859051,0.9988
0.25654988184526867,0.9988
0.2565762433210029,0.9988
0.25660261021477754,0.9988
0.2566289825282631,0.9988
0.25665536026313085,0.9988
0.2565789473684211,0.9984
0.25660532538295466,0.9984
0.256631708821715,0.9984
0.2566580976863753,0.9984
0.25668449197860965,0.9984
0.2567108917000926,0.9984
0.2567637074375064,0.9984
0.25679012345679014,0.9984
0.256816544912028,0.9984
0.2568429718048981,0.9984
0.25686940413707937,0.9984
0.2568958419102511,0.9984
0.25692228512609366,0.9984
0.25694873378628785,0.9984
0.25697518789251517,0.9984
0.257001647446458,0.9984
0.2570281124497992,0.9984
0.25705458290422245,0.9984
0.2570810588114121,0.9984
0.2571340269908314,0.9984
0.25716051926643313,0.9984
0.2571870170015456,0.9984
0.25721352019785654,0.9984
0.2572400288570545,0.9984
0.2572665429808287,0.9984
0.257293062570869,0.9984
0.257319587628866,0.9984
0.257346118156511,0.9984
0.257372654155496,0.9984
0.2573991956275137,0.9984
0.25742574257425743,0.9984
0.25745229499742134,0.9984
0.2574788528987002,0.9984
0.2575054162797895,0.9984
0.25753198514238546,0.9984
0.2575585594881849,0.9984
0.25758513931888544,0.9984
0.25761172463618537,0.9984
0.25763831544178367,0.9984
0.25766491173738,0.9984
0.2576915135246748,0.9984
0.25771812080536916,0.9984
0.2577447335811648,0.9984
0.2577713518537643,0.9984
0.2577979756248709,0.9984
0.2578246048961884,0.9984
0.2578512396694215,0.9984
0.2578778799462754,0.9984
0.2579045257284563,0.9984
0.25793117701767077,0.9984
0.2579578338156263,0.9984
0.257984496124031,0.9984
0.2580111639445938,0.9984
0.2580378372790241,0.9984
0.25806451612903225,0.9984
0.2580912004963292,0.9984
0.25811789038262667,0.9984
0.258144585789637,0.9984
0.25817128671907325,0.9984
0.25819799317264924,0.9984
0.25822470515207946,0.9984
0.25825142265907913,0.9984
0.2582781456953642,0.9984
0.25830487426265136,0.9984
0.25833160836265784,0.9984
0.2583583479971017,0.9984
0.25838509316770186,0.9984
0.2583083134900093,0.998
0.2583350590184303,0.998
0.258361810085948,0.998
0.25838856669428334,0.998
0.25841532884515794,0.998
0.25844209654029415,0.998
0.2584688697814151,0.998
0.2584956485702445,0.998
0.2585224329085069,0.998
0.25854922279792747,0.998
0.25857601824023213,0.998
0.2586028192371476,0.998
0.25862962579040116,0.998
0.25865643790172094,0.998
0.25868325557283567,0.998
0.2587100788054749,0.998
0.25873690760136886,0.998
0.2587637419622485,0.998
0.25879058188984544,0.998
0.25881742738589214,0.998
0.2588442784521216,0.998
0.2588711350902677,0.998
0.258897997302065,0.998
0.25892486508924867,0.998
0.25895173845355474,0.998
0.25897861739671996,0.998
0.25900550192048166,0.998
0.2590323920265781,0.998
0.259059287716748,0.998
0.25908618899273106,0.998
0.2591130958562675,0.998
0.25914000830909845,0.998
0.2591938499896115,0.998
0.25922077922077924,0.998
0.2592477140482128,0.998
0.2592746544736569,0.998
0.25932855212555866,0.998
0.25935550935550933,0.998
0.2593824721904564,0.998
0.25940944063214805,0.998
0.25943641468233336,0.998
0.2594903796151846,0.998
0.2595173705013522,0.998
0.25954436700301675,0.998
0.2595713691219309,0.998
0.2595983768598481,0.998
0.2596253902185224,0.998
0.2596524091997086,0.998
0.25967943380516234,0.998
0.25970646403663994,0.998
