fpr,tpr
0.0,0.0
0.0,0.0004
0.0,0.0048
0.0006666666666666666,0.0048
0.0006666666666666666,0.0068
0.0008,0.0068
0.0008,0.0088
0.002,0.0088
0.002,0.0092
0.002266666666666667,0.0092
0.002266666666666667,0.0096
0.002533333333333333,0.0096
0.0030666666666666668,0.0096
0.0030666666666666668,0.01
0.0032,0.01
0.0032,0.0176
0.0033333333333333335,0.0176
0.0033333333333333335,0.0188
0.0034666666666666665,0.0188
0.0034666666666666665,0.02
0.0036,0.02
0.0036,0.0208
0.0037333333333333333,0.0208
0.0037333333333333333,0.0228
0.0038666666666666667,0.0228
0.0038666666666666667,0.0232
0.004,0.0232
0.004,0.0236
0.004266666666666667,0.0236
0.004266666666666667,0.0244
0.0044,0.0244
0.0044,0.026
0.0048,0.026
0.0048,0.0264
0.004933333333333333,0.0264
0.004933333333333333,0.0272
0.005066666666666666,0.0272
0.005066666666666666,0.028
0.005333333333333333,0.028
0.005333333333333333,0.0288
0.0056,0.0288
0.0056,0.03
0.005733333333333333,0.03
0.005733333333333333,0.0304
0.0061333333333333335,0.0304
0.0061333333333333335,0.0308
0.006533333333333334,0.0308
0.006533333333333334,0.0316
0.006666666666666667,0.0316
0.006666666666666667,0.0328
0.0068,0.0328
0.0068,0.0332
0.006933333333333333,0.0332
0.006933333333333333,0.0352
0.007066666666666666,0.0352
0.007066666666666666,0.0384
0.0072,0.0384
0.0072,0.0392
0.007466666666666667,0.0392
0.007466666666666667,0.0436
0.0076,0.0436
0.0076,0.0452
0.007733333333333333,0.0452
0.007733333333333333,0.048
0.007866666666666666,0.048
0.007866666666666666,0.052
0.008,0.052
0.008,0.0536
0.008133333333333333,0.0536
0.008133333333333333,0.0568
0.008266666666666667,0.0568
0.008266666666666667,0.0572
0.0084,0.0572
0.0084,0.0592
0.008533333333333334,0.0592
0.0088,0.0592
0.0088,0.0604
0.009066666666666667,0.0604
0.009066666666666667,0.0616
0.0092,0.0616
0.0092,0.0652
0.009333333333333334,0.0652
0.009333333333333334,0.0668
0.0096,0.0668
0.0096,0.0704
0.009733333333333333,0.0704
0.009733333333333333,0.074
0.01,0.074
0.01,0.0752
0.010133333333333333,0.0752
0.010133333333333333,0.0768
0.0104,0.0768
0.0104,0.0804
0.010533333333333334,0.0804
0.010533333333333334,0.0824
0.010666666666666666,0.0824
0.010666666666666666,0.0852
0.0108,0.0852
0.0108,0.086
0.010933333333333333,0.086
0.010933333333333333,0.088
0.011333333333333334,0.088
0.011333333333333334,0.0904
0.011466666666666667,0.0904
0.011466666666666667,0.0916
0.0116,0.0916
0.0116,0.094
0.011866666666666666,0.094
0.011866666666666666,0.0952
0.012,0.0952
0.012,0.0968
0.012266666666666667,0.0968
0.012266666666666667,0.0996
0.012533333333333334,0.0996
0.012533333333333334,0.1
0.0128,0.1
0.0128,0.1048
0.012933333333333333,0.1048
0.012933333333333333,0.1096
0.013066666666666667,0.1096
0.013066666666666667,0.1108
0.0132,0.1108
0.0132,0.114
0.013333333333333334,0.114
0.013333333333333334,0.124
0.0136,0.124
0.0136,0.1248
0.013866666666666666,0.1248
0.013866666666666666,0.126
0.014,0.126
0.014,0.1288
0.014266666666666667,0.1288
0.014266666666666667,0.1292
0.0144,0.1292
0.0144,0.1308
0.014533333333333334,0.1308
0.014533333333333334,0.1312
0.014666666666666666,0.1312
0.014666666666666666,0.132
0.0148,0.132
0.0148,0.1332
0.0152,0.1332
0.0152,0.1336
0.015333333333333332,0.1336
0.015333333333333332,0.1368
0.015866666666666668,0.1368
0.015866666666666668,0.1388
0.016266666666666665,0.1388
0.016266666666666665,0.1396
0.0164,0.1396
0.0164,0.142
0.016666666666666666,0.142
0.016666666666666666,0.1428
0.0168,0.1428
0.0168,0.1432
0.017066666666666667,0.1432
0.017066666666666667,0.144
0.017733333333333334,0.144
0.017733333333333334,0.1444
0.017866666666666666,0.1444
0.017866666666666666,0.146
0.018266666666666667,0.146
0.018266666666666667,0.1464
0.0188,0.1464
0.0188,0.1468
0.019333333333333334,0.1468
0.019333333333333334,0.1476
0.019466666666666667,0.1476
0.019466666666666667,0.148
0.0196,0.148
0.0196,0.1484
0.019733333333333332,0.1484
0.019733333333333332,0.1492
0.019866666666666668,0.1492
0.019866666666666668,0.1496
0.020133333333333333,0.1496
0.020133333333333333,0.15
0.020266666666666665,0.15
0.020266666666666665,0.1516
0.020533333333333334,0.1516
0.020533333333333334,0.152
0.021066666666666668,0.152
0.021066666666666668,0.1524
0.0212,0.1524
0.0212,0.1528
0.0216,0.1528
0.0216,0.1532
0.021733333333333334,0.1532
0.021733333333333334,0.1548
0.022,0.1548
0.022,0.1552
0.022133333333333335,0.1552
0.022133333333333335,0.156
0.022266666666666667,0.156
0.022266666666666667,0.1592
0.022533333333333332,0.1592
0.022533333333333332,0.16
0.02266666666666667,0.16
0.02266666666666667,0.1604
0.0228,0.1604
0.0228,0.1612
0.022933333333333333,0.1612
0.022933333333333333,0.1632
0.0232,0.1632
0.0232,0.1636
0.023466666666666667,0.1636
0.023466666666666667,0.164
0.023733333333333332,0.164
0.023733333333333332,0.1644
0.023866666666666668,0.1644
0.023866666666666668,0.1648
0.024,0.1648
0.024,0.1656
0.024266666666666666,0.1656
0.024266666666666666,0.166
0.0244,0.166
0.0244,0.1672
0.024533333333333334,0.1672
0.024533333333333334,0.1684
0.024666666666666667,0.1684
0.024666666666666667,0.1708
0.0248,0.1708
0.0248,0.1712
0.02493333333333333,0.1712
0.02493333333333333,0.1728
0.0252,0.1728
0.0252,0.1752
