fpr,tpr
0.0,0.0
0.0,0.0004
0.0,0.0016
0.00013333333333333334,0.0016
0.00013333333333333334,0.004
0.0005333333333333334,0.004
0.0005333333333333334,0.0048
0.0008,0.0048
0.0008,0.0056
0.0009333333333333333,0.0056
0.0009333333333333333,0.0064
0.0010666666666666667,0.0064
0.0010666666666666667,0.008
0.0012,0.008
0.0012,0.0088
0.0013333333333333333,0.0088
0.0013333333333333333,0.0128
0.0014666666666666667,0.0128
0.0014666666666666667,0.014
0.0016,0.014
0.0016,0.0152
0.0021333333333333334,0.0152
0.0021333333333333334,0.0164
0.002266666666666667,0.0164
0.002266666666666667,0.0196
0.0026666666666666666,0.0196
0.0026666666666666666,0.0244
0.0028,0.0244
0.0028,0.0264
0.0029333333333333334,0.0264
0.0029333333333333334,0.0268
0.0030666666666666668,0.0268
0.0030666666666666668,0.0276
0.0032,0.0276
0.0032,0.032
0.0033333333333333335,0.032
0.0033333333333333335,0.0324
0.0034666666666666665,0.0324
0.0034666666666666665,0.0332
0.0037333333333333333,0.0332
0.0037333333333333333,0.0348
0.004,0.0348
0.004,0.0352
0.004266666666666667,0.0352
0.004266666666666667,0.0356
0.0044,0.0356
0.0044,0.0368
0.0048,0.0368
0.0048,0.0388
0.004933333333333333,0.0388
0.004933333333333333,0.0396
0.0052,0.0396
0.0052,0.04
0.005333333333333333,0.04
0.005333333333333333,0.0408
0.0056,0.0408
0.0056,0.0416
0.005733333333333333,0.0416
0.005733333333333333,0.0428
0.005866666666666667,0.0428
0.005866666666666667,0.0432
0.0061333333333333335,0.0432
0.0061333333333333335,0.0468
0.006266666666666667,0.0468
0.006266666666666667,0.0476
0.0064,0.0476
0.0064,0.048
0.006533333333333334,0.048
0.006533333333333334,0.0496
0.006666666666666667,0.0496
0.006666666666666667,0.0508
0.0068,0.0508
0.0068,0.0548
0.006933333333333333,0.0548
0.006933333333333333,0.0564
0.0072,0.0564
0.0072,0.058
0.007333333333333333,0.058
0.007333333333333333,0.0592
0.007466666666666667,0.0592
0.007466666666666667,0.0608
0.0076,0.0608
0.0076,0.0616
0.007866666666666666,0.0616
0.007866666666666666,0.062
0.008,0.062
0.008,0.0624
0.008133333333333333,0.0624
0.008133333333333333,0.0636
0.008666666666666666,0.0636
0.008666666666666666,0.064
0.008933333333333333,0.064
0.008933333333333333,0.0644
0.0092,0.0644
0.0092,0.0652
0.009333333333333334,0.0652
0.009333333333333334,0.0672
0.009466666666666667,0.0672
0.009466666666666667,0.0676
0.009733333333333333,0.0676
0.009733333333333333,0.0688
0.009866666666666666,0.0688
0.009866666666666666,0.07
0.01,0.07
0.01,0.0724
0.010133333333333333,0.0724
0.010133333333333333,0.0736
0.010266666666666667,0.0736
0.010266666666666667,0.0756
0.0104,0.0756
0.0104,0.0776
0.010533333333333334,0.0776
0.010533333333333334,0.078
0.010666666666666666,0.078
0.010666666666666666,0.0796
0.0108,0.0796
0.0108,0.0804
0.010933333333333333,0.0804
0.010933333333333333,0.084
0.011066666666666667,0.084
0.011066666666666667,0.0868
0.011466666666666667,0.0868
0.011466666666666667,0.0872
0.0116,0.0872
0.0116,0.0896
0.011733333333333333,0.0896
0.011733333333333333,0.0912
0.012,0.0912
0.012,0.0952
0.012133333333333333,0.0952
0.012133333333333333,0.096
0.012266666666666667,0.096
0.012266666666666667,0.0968
0.0124,0.0968
0.0124,0.0972
0.012666666666666666,0.0972
0.012666666666666666,0.0976
0.0128,0.0976
0.0128,0.0992
0.012933333333333333,0.0992
0.012933333333333333,0.1012
0.013066666666666667,0.1012
0.013066666666666667,0.1016
0.0132,0.1016
0.0132,0.102
0.013333333333333334,0.102
0.013333333333333334,0.108
0.013466666666666667,0.108
0.013466666666666667,0.1116
0.013733333333333334,0.1116
0.013733333333333334,0.1128
0.013866666666666666,0.1128
0.013866666666666666,0.1132
0.014,0.1132
0.014,0.1144
0.014133333333333333,0.1144
0.014133333333333333,0.1148
0.014266666666666667,0.1148
0.014266666666666667,0.1164
0.014533333333333334,0.1164
0.014533333333333334,0.1168
0.0148,0.1168
0.0148,0.1176
0.014933333333333333,0.1176
0.014933333333333333,0.118
0.015066666666666667,0.118
0.015066666666666667,0.1188
0.0152,0.1188
0.0152,0.1232
0.015333333333333332,0.1232
0.015333333333333332,0.1256
0.015466666666666667,0.1256
0.015466666666666667,0.1272
0.015733333333333332,0.1272
0.015733333333333332,0.1288
0.015866666666666668,0.1288
0.015866666666666668,0.13
0.016133333333333333,0.13
0.016133333333333333,0.1308
0.016533333333333334,0.1308
0.016533333333333334,0.1312
0.016933333333333335,0.1312
0.016933333333333335,0.1336
0.017066666666666667,0.1336
0.017066666666666667,0.1348
0.0172,0.1348
0.0172,0.1352
0.017333333333333333,0.1352
0.017333333333333333,0.136
0.017866666666666666,0.136
0.017866666666666666,0.1372
0.018,0.1372
0.018,0.1376
0.018133333333333335,0.1376
0.018133333333333335,0.1396
