precision,recall
0.2501751225858101,1.0
0.25010008006405127,0.9996
0.2501251126013412,0.9996
0.25015015015015013,0.9996
0.2501751927119832,0.9996
0.25020024028834603,0.9996
0.25012516271152496,0.9992
0.2501502102944122,0.9992
0.2501752628943415,0.9992
0.25020032051282054,0.9992
0.2502253831513573,0.9992
0.25025045081146063,0.9992
0.2501753331329526,0.9988
0.2502004008016032,0.9988
0.2502254734943381,0.9988
0.25025055121266787,0.9988
0.25027563395810365,0.9988
0.25030072173215717,0.9988
0.25032581453634084,0.9988
0.2503509123721676,0.9988
0.2503760152411511,0.9988
0.25040112314480545,0.9988
0.2504262360846455,0.9988
0.25045135406218655,0.9988
0.2504764770789447,0.9988
0.2505016051364366,0.9988
0.2505267382361794,0.9988
0.25055187637969095,0.9988
0.2505770195684897,0.9988
0.2506021678040947,0.9988
0.2506273210880257,0.9988
0.25065247942180285,0.9988
0.2506776428069471,0.9988
0.2507028112449799,0.9988
0.2507279847374234,0.9988
0.2507531632858004,0.9988
0.25077834689163403,0.9988
0.25080353555644835,0.9988
0.25082872928176797,0.9988
0.25085392806911794,0.9988
0.2508791319200241,0.9988
0.2509043408360129,0.9988
0.2509295548186112,0.9988
0.2509547738693467,0.9988
0.25097999798974774,0.9988
0.251005227181343,0.9988
0.251030461445662,0.9988
0.25095515785240297,0.9984
0.25098039215686274,0.9984
0.251005631536605,0.9984
0.25103087599316104,0.9984
0.2510561255280628,0.9984
0.25108138014284276,0.9984
0.2511066398390342,0.9984
0.25113190461817086,0.9984
0.2511571744817871,0.9984
0.25118244943141793,0.9984
0.25120772946859904,0.9984
0.25123301459486663,0.9984
0.2512583048117576,0.9984
0.2512836001208094,0.9984
0.2513089005235602,0.9984
0.2513342060215487,0.9984
0.25138483230939673,0.9984
0.25130942788074134,0.998
0.25133474362848796,0.998
0.2513600644771308,0.998
0.25138539042821156,0.998
0.25141072148327287,0.998
0.2514360576438577,0.998
0.25146139891150976,0.998
0.2514867452877734,0.998
0.25151209677419356,0.998
0.25153745337231576,0.998
0.2515628150836862,0.998
0.25158818190985177,0.998
0.25161355385235984,0.998
0.25163893091275846,0.998
0.25166431309259635,0.998
0.25168970039342276,0.998
0.2517150928167877,0.998
0.25174049036424173,0.998
0.25176589303733604,0.998
0.25179130083762236,0.998
0.2518167137666532,0.998
0.25184213182598164,0.998
0.2518675550171613,0.998
0.2518929833417466,0.998
0.2519184168012924,0.998
0.2519438553973543,0.998
0.2519692991314886,0.998
0.251994748005252,0.998
0.25202020202020203,0.998
0.2520456611778968,0.998
0.2520711254798949,0.998
0.2520965949277559,0.998
0.2521220695230396,0.998
0.2521475492673067,0.998
0.25217303416211845,0.998
0.2521985242090367,0.998
0.2522240194096239,0.998
0.25224951976544335,0.998
0.2522750252780586,0.998
0.2523005359490343,0.998
0.2523260517799353,0.998
0.2523515727723273,0.998
0.25237709892777666,0.998
0.25240263024785026,0.998
0.25232699312019424,0.9976
0.2523525245370839,0.9976
0.2523780611212305,0.9976
0.252403602874203,0.9976
0.25242914979757086,0.9976
0.25245470189290414,0.9976
0.25248025916177363,0.9976
0.25250582160575075,0.9976
0.25253138922640744,0.9976
0.25255696202531647,0.9976
0.25258254000405106,0.9976
0.2526081231641851,0.9976
0.25263371150729336,0.9976
0.2526593050349509,0.9976
0.25268490374873354,0.9976
0.25271050765021785,0.9976
0.2526347790839076,0.9972
0.2526603830951657,0.9972
0.2526859922967768,0.9972
0.25271160669031933,0.9972
0.2527372262773723,0.9972
0.25276285105951535,0.9972
0.25278848103832896,0.9972
0.25281411621539396,0.9972
0.2527383367139959,0.9968
0.2527639720052744,0.9968
0.252789612497464,0.9968
0.25271380744648475,0.9964
0.25273944805194803,0.9964
0.2527650938609843,0.9964
0.2527907448751776,0.9964
0.25281640109611286,0.9964
0.25284206252537555,0.9964
0.2528677291645518,0.9964
0.25289340101522845,0.9964
0.2529190780789928,0.9964
0.25294476035743296,0.9964
0.2529704478521377,0.9964
0.2529961405646963,0.9964
0.25302183849669885,0.9964
0.25304754164973586,0.9964
0.25307325002539877,0.9964
0.2530989636252794,0.9964
0.2531246824509704,0.9964
0.25315040650406506,0.9964
0.2531761357861571,0.9964
0.2532018702988412,0.9964
0.2532276100437125,0.9964
0.2532533550223668,0.9964
0.2532791052364006,0.9964
0.25330486068741104,0.9964
0.25333062137699586,0.9964
0.25335638730675347,0.9964
0.253382158478283,0.9964
0.25340793489318414,0.9964
0.2534337165530573,0.9964
0.25345950345950347,0.9964
0.25348529561412436,0.9964
0.2535110930185223,0.9964
0.2534351145038168,0.996
0.25346091205211724,0.996
0.25348671485289626,0.996
0.2535125229077581,0.996
0.2535383362183077,0.996
0.2535641547861507,0.996
0.2535899786128934,0.996
0.2536158077001426,0.996
0.25364164204950596,0.996
0.25356560717196414,0.9956
0.25359144167091185,0.9956
0.2535153861830039,0.9952
0.25354122082951186,0.9952
0.2534651447207501,0.9948
0.25349097951279176,0.9948
0.253542664899582,0.9948
0.253568515497553,0.9948
0.25359437136739066,0.9948
0.25362023251070775,0.9948
0.2536460989291178,0.9948
0.253671970624235,0.9948
0.25369784759767416,0.9948
0.2537237298510508,0.9948
0.253749617385981,0.9948
0.2537755102040816,0.9948
0.2538014083069701,0.9948
0.25382731169626455,0.9948
0.25385322037358377,0.9948
0.25387913434054715,0.9948
0.2539050535987749,0.9948
0.2539309781498877,0.9948
0.2538547942407842,0.9944
0.25388071895424835,0.9944
0.25390664896333365,0.9944
0.2539325842696629,0.9944
0.253856369394218,0.994
0.25388230486309765,0.994
