fpr,tpr
0.0,0.0
0.00013333333333333334,0.0
0.0002666666666666667,0.0
0.0002666666666666667,0.0004
0.0004,0.0004
0.0004,0.0008
0.0006666666666666666,0.0008
0.0006666666666666666,0.0024
0.0008,0.0024
0.0008,0.004
0.0009333333333333333,0.004
0.0009333333333333333,0.0044
0.0010666666666666667,0.0044
0.0010666666666666667,0.0072
0.0012,0.0072
0.0012,0.0076
0.0013333333333333333,0.0076
0.0013333333333333333,0.008
0.0014666666666666667,0.008
0.0014666666666666667,0.0088
0.0018666666666666666,0.0088
0.0018666666666666666,0.0104
0.0021333333333333334,0.0104
0.0021333333333333334,0.012
0.002266666666666667,0.012
0.002266666666666667,0.0152
0.0024,0.0152
0.0024,0.0168
0.0028,0.0168
0.0028,0.018
0.0029333333333333334,0.018
0.0029333333333333334,0.0188
0.0030666666666666668,0.0188
0.0030666666666666668,0.022
0.0032,0.022
0.0032,0.0224
0.0033333333333333335,0.0224
0.0033333333333333335,0.0228
0.0034666666666666665,0.0228
0.0034666666666666665,0.0232
0.0036,0.0232
0.0036,0.0236
0.0037333333333333333,0.0236
0.0037333333333333333,0.024
0.0038666666666666667,0.024
0.0038666666666666667,0.0256
0.004,0.0256
0.004,0.0264
0.0041333333333333335,0.0264
0.0041333333333333335,0.0272
0.0044,0.0272
0.0044,0.028
0.004533333333333334,0.028
0.004533333333333334,0.03
0.0048,0.03
0.0048,0.0304
0.005066666666666666,0.0304
0.005066666666666666,0.0308
0.005333333333333333,0.0308
0.005333333333333333,0.0396
0.005733333333333333,0.0396
0.005733333333333333,0.0408
0.005866666666666667,0.0408
0.005866666666666667,0.0424
0.006,0.0424
0.006,0.0428
0.0061333333333333335,0.0428
0.0061333333333333335,0.0432
0.006266666666666667,0.0432
0.006266666666666667,0.046
0.006533333333333334,0.046
0.006533333333333334,0.0472
0.006666666666666667,0.0472
0.006666666666666667,0.0484
0.007066666666666666,0.0484
0.007066666666666666,0.0512
0.0072,0.0512
0.0072,0.052
0.007333333333333333,0.052
0.007333333333333333,0.0536
0.007466666666666667,0.0536
0.007466666666666667,0.0584
0.008133333333333333,0.0584
0.008133333333333333,0.0624
0.008266666666666667,0.0624
0.008266666666666667,0.0644
0.0084,0.0644
0.0084,0.066
0.008533333333333334,0.066
0.008533333333333334,0.0676
0.008666666666666666,0.0676
0.008666666666666666,0.0684
0.008933333333333333,0.0684
0.008933333333333333,0.0688
0.009066666666666667,0.0688
0.009066666666666667,0.0692
0.0092,0.0692
0.0092,0.0696
0.009466666666666667,0.0696
0.009466666666666667,0.0764
0.0096,0.0764
0.0096,0.0776
0.009866666666666666,0.0776
0.009866666666666666,0.0792
0.010133333333333333,0.0792
0.010133333333333333,0.0796
0.010266666666666667,0.0796
0.010266666666666667,0.08
0.0104,0.08
0.0104,0.0832
0.010666666666666666,0.0832
0.010666666666666666,0.084
0.010933333333333333,0.084
0.010933333333333333,0.0844
0.011066666666666667,0.0844
0.011066666666666667,0.0856
0.0112,0.0856
0.0112,0.086
0.0116,0.086
0.0116,0.0864
0.011733333333333333,0.0864
0.011733333333333333,0.0884
0.012,0.0884
0.012,0.0892
0.012133333333333333,0.0892
0.012133333333333333,0.09
0.012266666666666667,0.09
0.012266666666666667,0.0908
0.0124,0.0908
0.0124,0.0916
0.012533333333333334,0.0916
0.012533333333333334,0.0928
0.012666666666666666,0.0928
0.012666666666666666,0.0944
0.013066666666666667,0.0944
0.013333333333333334,0.0944
0.013466666666666667,0.0944
0.013466666666666667,0.096
0.0136,0.096
0.0136,0.0964
0.013866666666666666,0.0964
0.013866666666666666,0.098
0.014133333333333333,0.098
0.014133333333333333,0.102
0.014266666666666667,0.102
0.014266666666666667,0.1028
0.0144,0.1028
0.0144,0.1048
0.0148,0.1048
0.0148,0.1052
0.015066666666666667,0.1052
0.015066666666666667,0.1056
0.0152,0.1056
0.0152,0.1072
0.015333333333333332,0.1072
0.015333333333333332,0.108
0.0156,0.108
0.0156,0.1088
0.015733333333333332,0.1088
0.015733333333333332,0.1092
0.016133333333333333,0.1092
0.016133333333333333,0.1104
0.016266666666666665,0.1104
0.016266666666666665,0.1124
0.016533333333333334,0.1124
0.016533333333333334,0.1132
0.016666666666666666,0.1132
0.016666666666666666,0.1136
0.0168,0.1136
0.0168,0.1144
0.017066666666666667,0.1144
0.017066666666666667,0.1152
0.0172,0.1152
0.0172,0.1156
0.017466666666666665,0.1156
0.017466666666666665,0.116
0.0176,0.116
0.0176,0.1184
0.017733333333333334,0.1184
0.017733333333333334,0.1196
0.017866666666666666,0.1196
0.017866666666666666,0.12
0.018,0.12
0.018,0.1204
0.018133333333333335,0.1204
0.018133333333333335,0.1212
0.018266666666666667,0.1212
0.018266666666666667,0.1216
0.018533333333333332,0.1216
0.018533333333333332,0.122
0.0188,0.122
0.0188,0.1224
0.018933333333333333,0.1224
0.018933333333333333,0.1236
0.019066666666666666,0.1236
0.019066666666666666,0.124
0.019333333333333334,0.124
0.019333333333333334,0.1284
0.019466666666666667,0.1284
0.019466666666666667,0.1292
0.0196,0.1292
0.0196,0.13
0.019733333333333332,0.13
0.019733333333333332,0.1304
0.02,0.1304
0.02,0.1316
0.020133333333333333,0.1316
0.020133333333333333,0.132
0.020266666666666665,0.132
0.020266666666666665,0.1324
0.0204,0.1324
0.0204,0.134
0.020666666666666667,0.134
0.020666666666666667,0.1348
0.0208,0.1348
0.0208,0.1352
0.020933333333333335,0.1352
0.020933333333333335,0.136
0.021066666666666668,0.136
0.021066666666666668,0.1368
0.021333333333333333,0.1368
