fpr,tpr
0.0,0.0
0.00013333333333333334,0.0
0.0002666666666666667,0.0
0.0002666666666666667,0.0004
0.0017333333333333333,0.0004
0.0017333333333333333,0.0008
0.0018666666666666666,0.0008
0.0018666666666666666,0.0012
0.002,0.0012
0.002,0.002
0.0024,0.002
0.0024,0.0024
0.002533333333333333,0.0024
0.002533333333333333,0.0028
0.0026666666666666666,0.0028
0.0026666666666666666,0.0032
0.0028,0.0032
0.0028,0.0044
0.0029333333333333334,0.0044
0.0029333333333333334,0.0052
0.0032,0.0052
0.0032,0.006
0.0036,0.006
0.0036,0.008
0.0038666666666666667,0.008
0.0038666666666666667,0.0084
0.0041333333333333335,0.0084
0.0041333333333333335,0.0104
0.004266666666666667,0.0104
0.004266666666666667,0.012
0.0044,0.012
0.0044,0.0124
0.004533333333333334,0.0124
0.004533333333333334,0.0144
0.004666666666666667,0.0144
0.004666666666666667,0.0152
0.0048,0.0152
0.0048,0.018
0.0052,0.018
0.0052,0.024
0.005333333333333333,0.024
0.005333333333333333,0.0292
0.0054666666666666665,0.0292
0.0054666666666666665,0.0304
0.0056,0.0304
0.0056,0.0324
0.005733333333333333,0.0324
0.005733333333333333,0.0328
0.005866666666666667,0.0328
0.005866666666666667,0.0332
0.0061333333333333335,0.0332
0.0061333333333333335,0.034
0.006266666666666667,0.034
0.006266666666666667,0.0348
0.0064,0.0348
0.0064,0.0352
0.0068,0.0352
0.0068,0.036
0.006933333333333333,0.036
0.006933333333333333,0.0364
0.007466666666666667,0.0364
0.007466666666666667,0.0372
0.0076,0.0372
0.0076,0.0384
0.007866666666666666,0.0384
0.007866666666666666,0.0392
0.008266666666666667,0.0392
0.008266666666666667,0.04
0.0084,0.04
0.0084,0.0416
0.008533333333333334,0.0416
0.008533333333333334,0.042
0.008666666666666666,0.042
0.008666666666666666,0.0424
0.0088,0.0424
0.0088,0.0464
0.0092,0.0464
0.0092,0.0468
0.009333333333333334,0.0468
0.009333333333333334,0.0472
0.009466666666666667,0.0472
0.009466666666666667,0.0496
0.0096,0.0496
0.0096,0.0504
0.009866666666666666,0.0504
0.009866666666666666,0.052
0.01,0.052
0.01,0.0528
0.010133333333333333,0.0528
0.010133333333333333,0.0544
0.010266666666666667,0.0544
0.010266666666666667,0.0592
0.010533333333333334,0.0592
0.010533333333333334,0.0596
0.010666666666666666,0.0596
0.010666666666666666,0.0604
0.0108,0.0604
0.0108,0.0616
0.011066666666666667,0.0616
0.011066666666666667,0.0648
0.0112,0.0648
0.0112,0.0664
0.011333333333333334,0.0664
0.011333333333333334,0.0668
0.011466666666666667,0.0668
0.011466666666666667,0.0688
0.011733333333333333,0.0688
0.011733333333333333,0.0732
0.012133333333333333,0.0732
0.012133333333333333,0.0744
0.012266666666666667,0.0744
0.012266666666666667,0.0796
0.012533333333333334,0.0796
0.012533333333333334,0.0812
0.012666666666666666,0.0812
0.012666666666666666,0.0852
0.0128,0.0852
0.0128,0.0864
0.012933333333333333,0.0864
0.012933333333333333,0.088
0.0132,0.088
0.0132,0.0908
0.013466666666666667,0.0908
0.013466666666666667,0.0924
0.0136,0.0924
0.0136,0.0928
0.013733333333333334,0.0928
0.013733333333333334,0.0932
0.014,0.0932
0.014,0.0936
0.014133333333333333,0.0936
0.014133333333333333,0.0952
0.0144,0.0952
0.0144,0.0984
0.014533333333333334,0.0984
0.014533333333333334,0.0988
0.014666666666666666,0.0988
0.014666666666666666,0.1004
0.0148,0.1004
0.0148,0.1008
0.014933333333333333,0.1008
0.014933333333333333,0.1028
0.015333333333333332,0.1028
0.015333333333333332,0.1092
0.015466666666666667,0.1092
0.015466666666666667,0.1096
0.0156,0.1096
0.0156,0.1104
0.015733333333333332,0.1104
0.015733333333333332,0.1128
0.015866666666666668,0.1128
0.015866666666666668,0.1132
0.016,0.1132
0.016,0.1136
0.016133333333333333,0.1136
0.016133333333333333,0.1148
0.016266666666666665,0.1148
0.016266666666666665,0.1156
0.0164,0.1156
0.0164,0.118
0.016533333333333334,0.118
0.016533333333333334,0.1204
0.016666666666666666,0.1204
0.016666666666666666,0.1216
0.0168,0.1216
0.0168,0.1224
0.016933333333333335,0.1224
0.016933333333333335,0.1236
0.017066666666666667,0.1236
0.017066666666666667,0.126
0.0172,0.126
0.0172,0.1264
0.017466666666666665,0.1264
0.017466666666666665,0.1296
0.0176,0.1296
0.0176,0.1304
0.017866666666666666,0.1304
0.017866666666666666,0.1308
0.018,0.1308
0.018,0.1312
0.018133333333333335,0.1312
0.018133333333333335,0.1316
0.0184,0.1316
0.0184,0.132
0.018533333333333332,0.132
0.018533333333333332,0.1332
0.018666666666666668,0.1332
0.018666666666666668,0.1344
0.018933333333333333,0.1344
0.018933333333333333,0.1356
0.019066666666666666,0.1356
0.019066666666666666,0.1364
0.019466666666666667,0.1364
0.019466666666666667,0.1372
0.019733333333333332,0.1372
0.019733333333333332,0.1388
0.02,0.1388
0.02,0.1412
0.020133333333333333,0.1412
0.020133333333333333,0.1424
0.0204,0.1424
0.0204,0.1448
0.020533333333333334,0.1448
0.020533333333333334,0.1468
0.0208,0.1468
0.0208,0.1472
0.020933333333333335,0.1472
0.020933333333333335,0.15
0.021066666666666668,0.15
0.021066666666666668,0.1508
0.021333333333333333,0.1508
0.021333333333333333,0.1516
0.021466666666666665,0.1516
0.021466666666666665,0.1532
0.021733333333333334,0.1532
0.021733333333333334,0.1548
0.021866666666666666,0.1548
0.021866666666666666,0.1568
0.022133333333333335,0.1568
0.022133333333333335,0.1572
0.022266666666666667,0.1572
0.022266666666666667,0.1596
