Folder Level 1,Folder Level 2,Folder Level 3,Accuracy,AUROC,AUPRC,
NB,Word2Vec,Feature-Based,0.7627,0.7408359466666666,0.48087722395708354,
NB,Metapath2Vec,Topology-Based,0.8233,0.82696952,0.707985251,
NB,Metapath2Vec,Uniform Random,0.6969,0.68638576,0.467896829,
NB,Metapath2Vec,Feature-Based,0.7086,0.7033376,0.47003115265996775,
NB,DeepWalk,Topology-Based,0.9036,0.9405004800000001,0.8808506601390427,
NB,DeepWalk,Uniform Random,0.7675,0.6901397866666665,0.4651086567696394,
NB,DeepWalk,Feature-Based,0.7666,0.6952922666666668,0.463520216,
NB,Node2Vec,Topology-Based,0.8501,0.90143136,0.6799469757719883,
NB,Node2Vec,Uniform Random,0.7584,0.7033058133333334,0.4586525108342762,
NB,Node2Vec,Feature-Based,0.7561,0.68205712,0.43092479570594594,
NB,Struc2Vec,Topology-Based,0.8519,0.9136375466666666,0.7503739685826878,
NB,Struc2Vec,Uniform Random,0.7297,0.7613550933333333,0.5037381297421221,
NB,Struc2Vec,Feature-Based,0.734,0.7605440533333333,0.5139393794427112,
NB,BiNE,Topology-Based,0.9189,0.95319968,0.8841715553786904,
NB,BiNE,Uniform Random,0.7616,0.7253070933333333,0.45889279596925736,
NB,BiNE,Feature-Based,0.8873,0.8967698666666667,0.8279606344474666,
GCN,Word2Vec,Topology-Based,0.9303,0.9745972533333334,0.9660704372985902,
GCN,Word2Vec,Uniform Random,0.754,0.7892615466666667,0.5369081685994173,
GCN,Word2Vec,Feature-Based,0.7534,0.7984197066666666,0.544695867,
GCN,Metapath2Vec,Topology-Based,0.9493,0.9682063466666666,0.9542501094722775,
GCN,Metapath2Vec,Uniform Random,0.7519,0.7970560800000001,0.5352092751576804,
GCN,Metapath2Vec,Feature-Based,0.7532,0.7979104533333333,0.5335403330135725,
GCN,DeepWalk,Topology-Based,0.9847,0.9753231466666668,0.9770565706419259,
GCN,DeepWalk,Uniform Random,0.7537,0.8271309066666668,0.5709630043404628,
GCN,DeepWalk,Feature-Based,0.7536,0.8182347199999999,0.5555154624480572,
GCN,Node2Vec,Topology-Based,0.972,0.9707844800000001,0.9685884858188969,
GCN,Node2Vec,Uniform Random,0.7517,0.8314010133333334,0.5805794213837512,
GCN,Node2Vec,Feature-Based,0.7545,0.8303757333333334,0.5899199100736698,
GCN,Struc2Vec,Topology-Based,0.9746,0.9741864533333333,0.9237990861561849,
GCN,Struc2Vec,Uniform Random,0.7516,0.8103666666666667,0.5415397293600399,
GCN,Struc2Vec,Feature-Based,0.7555,0.81490816,0.561042834,
GCN,BiNE,Topology-Based,0.9677,0.9818725333333334,0.9793734903933123,
GCN,BiNE,Uniform Random,0.7517,0.7986602666666667,0.5406355809457208,
GCN,BiNE,Feature-Based,0.8571,0.9077975200000001,0.721943335,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,0.9685884858188969
